Delegacia,Ano,Mês,Total de Ocorrências
DEL.INV.M.AMB.TABOAO SERRA,2021,Janeiro,1
DEL.INV.M.AMB.TABOAO SERRA,2019,Abril,1
DEL.INV.M.AMB.CARAPICUIBA,2023,Janeiro,1
DEL.INV.M.AMB.CARAPICUIBA,2020,Maio,1
DEL.INV.M.AMB.CARAPICUIBA,2019,Fevereiro,1
DEL.INV.M.AMB.TABOAO SERRA,2023,Março,1
02º D.P. S. SEBASTIAO,2023,Abril,1
02º D.P. S. SEBASTIAO,2022,Abril,1
02º D.P. S. SEBASTIAO,2020,Março,1
02º D.P. S. SEBASTIAO,2019,Maio,1
DEL.INV.M.AMB.TABOAO SERRA,2023,Junho,1
DEL.POL.ILHABELA,2023,Fevereiro,1
DEL.POL.ILHA COMPRIDA,2023,Janeiro,1
DEL.POL.ILHA COMPRIDA,2022,Fevereiro,1
DEL.POL.ILHA COMPRIDA,2021,Janeiro,1
DEL.POL.ILHA COMPRIDA,2021,Fevereiro,1
DEL.POL.ILHA COMPRIDA,2020,Fevereiro,1
DEL.POL.IGUAPE,2023,Abril,1
DEL.POL.IGUAPE,2020,Março,1
DEL.POL.IGUAPE,2019,Março,1
DEL.POL.IGUAPE,2019,Junho,1
DEL.POL.IGUAPE,2019,Janeiro,1
